timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2 %, 3153 MiB
2 %, 3153 MiB
2 %, 3083 MiB
2 %, 3084 MiB
2 %, 3105 MiB
3 %, 3105 MiB
3 %, 3104 MiB
3 %, 3106 MiB
5 %, 3104 MiB
3 %, 3114 MiB
2 %, 3121 MiB
2 %, 3086 MiB
2 %, 3084 MiB
2 %, 3092 MiB
2 %, 3090 MiB
2 %, 3083 MiB
2 %, 3085 MiB
2 %, 3118 MiB
2 %, 3120 MiB
2 %, 3120 MiB
5 %, 3122 MiB
6 %, 3148 MiB
5 %, 3128 MiB
2 %, 922 MiB
2 %, 921 MiB
3 %, 915 MiB
2 %, 909 MiB
2 %, 897 MiB
2 %, 878 MiB
2 %, 885 MiB
3 %, 888 MiB
6 %, 891 MiB
4 %, 889 MiB
6 %, 908 MiB
2 %, 908 MiB
2 %, 892 MiB
2 %, 895 MiB
2 %, 899 MiB
6 %, 898 MiB
2 %, 906 MiB
2 %, 906 MiB
2 %, 885 MiB
3 %, 905 MiB
2 %, 921 MiB
7 %, 918 MiB
6 %, 921 MiB
2 %, 911 MiB
2 %, 891 MiB
2 %, 884 MiB
2 %, 884 MiB
7 %, 890 MiB
6 %, 894 MiB
2 %, 896 MiB
2 %, 894 MiB
2 %, 889 MiB
2 %, 889 MiB
2 %, 887 MiB
2 %, 884 MiB
63 %, 2779 MiB
2 %, 3101 MiB
2 %, 3089 MiB
2 %, 3089 MiB
2 %, 3095 MiB
2 %, 3099 MiB
2 %, 3089 MiB
2 %, 3093 MiB
2 %, 3095 MiB
3 %, 3159 MiB
2 %, 3137 MiB
5 %, 3144 MiB
2 %, 3138 MiB
6 %, 3137 MiB
2 %, 3143 MiB
7 %, 3139 MiB
3 %, 3141 MiB
2 %, 3141 MiB
2 %, 3146 MiB
2 %, 3146 MiB
2 %, 3139 MiB
2 %, 3139 MiB
2 %, 3132 MiB
6 %, 3145 MiB
2 %, 3145 MiB
2 %, 3152 MiB
2 %, 3140 MiB
2 %, 3140 MiB
5 %, 3136 MiB
4 %, 3144 MiB
2 %, 3141 MiB
2 %, 3141 MiB
7 %, 3141 MiB
5 %, 3141 MiB
2 %, 3151 MiB
2 %, 3147 MiB
3 %, 3146 MiB
5 %, 3150 MiB
2 %, 3146 MiB
2 %, 3143 MiB
2 %, 3143 MiB
2 %, 3130 MiB
7 %, 3141 MiB
2 %, 3141 MiB
2 %, 3138 MiB
2 %, 3139 MiB
2 %, 3139 MiB
4 %, 3134 MiB
6 %, 3139 MiB
6 %, 3139 MiB
6 %, 3131 MiB
6 %, 3131 MiB
6 %, 3131 MiB
6 %, 3129 MiB
7 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3129 MiB
6 %, 3144 MiB
2 %, 3144 MiB
2 %, 3128 MiB
2 %, 3134 MiB
2 %, 3130 MiB
2 %, 3128 MiB
2 %, 3128 MiB
2 %, 3128 MiB
6 %, 3133 MiB
6 %, 3137 MiB
7 %, 3152 MiB
2 %, 3152 MiB
2 %, 3152 MiB
2 %, 3152 MiB
2 %, 3152 MiB
2 %, 3152 MiB
7 %, 3143 MiB
2 %, 3149 MiB
6 %, 3150 MiB
7 %, 3155 MiB
6 %, 3135 MiB
7 %, 3154 MiB
2 %, 3154 MiB
2 %, 3138 MiB
2 %, 3138 MiB
2 %, 3138 MiB
2 %, 3138 MiB
2 %, 3138 MiB
2 %, 3138 MiB
2 %, 3140 MiB
2 %, 3140 MiB
2 %, 3140 MiB
2 %, 3139 MiB
2 %, 3139 MiB
2 %, 3140 MiB
2 %, 3147 MiB
2 %, 3147 MiB
2 %, 3147 MiB
